"stat_month","storeid","store_type","total_sales_qty","total_begin_qty","total_end_qty","avg_inventory_qty","turnover_ratio"
"2023-02-01","16884",院外店,25956.2721,96559.4340,87351.2883,91955.36115000,0.28227035
"2023-02-01","16885",社区店,51537.9886,59577.2860,61491.7462,60534.51610000,0.85138185
"2023-02-01","16887",社区店,38721.1500,97110.4680,100829.3280,98969.89800000,0.39124168
"2023-02-01","16890",社区店,34481.5036,35867.7670,38047.5792,36957.67310000,0.93299985
"2023-02-01","16892",院外店,6038.8000,11534.8000,12376.7800,11955.79000000,0.50509418
"2023-02-01","16893",社区店,157791.7146,36805.0000,40995.7460,38900.37300000,4.05630338
"2023-02-01","16894",社区店,13369.6722,29616.5994,33396.8608,31506.73010000,0.42434337
"2023-02-01","16895",社区店,6199.8000,9510.3000,12451.0000,10980.65000000,0.56461138
"2023-02-01","16896",社区店,15464.6580,28730.5000,28373.0080,28551.75400000,0.54163600
"2023-02-01","16898",社区店,57571.1160,21096.8140,43936.9380,32516.87600000,1.77049960
"2023-02-01","16899",社区店,69674.1000,67784.7000,86868.2700,77326.48500000,0.90103798
"2023-02-01","16900",社区店,30113.9774,28654.8032,28644.6134,28649.70830000,1.05110938
"2023-02-01","16901",社区店,32317.4120,26700.0780,24755.3400,25727.70900000,1.25613252
"2023-02-01","16902",社区店,36280.4000,32996.0000,41400.5800,37198.29000000,0.97532440
"2023-02-01","16903",社区店,13693.9050,21525.6510,25425.6060,23475.62850000,0.58332431
"2023-02-01","16904",社区店,28648.0000,38733.2000,39460.7200,39096.96000000,0.73274239
"2023-02-01","16906",社区店,30427.3820,21887.7800,30858.8180,26373.29900000,1.15371922
"2023-02-01","16907",社区店,66155.1214,49616.6772,54182.3664,51899.52180000,1.27467689
"2023-02-01","16908",社区店,68516.1778,76140.4138,64726.4960,70433.45490000,0.97277888
"2023-02-01","16910",社区店,64028.0802,55573.8772,54734.4368,55154.15700000,1.16089309
"2023-02-01","16911",社区店,23841.3360,32760.4050,33209.3190,32984.86200000,0.72279629
"2023-02-01","16913",社区店,86932.8630,118213.3020,111195.1290,114704.21550000,0.75788725
"2023-02-01","16914",社区店,57404.0192,49844.2048,52813.6856,51328.94520000,1.11835571
"2023-02-01","16917",社区店,72187.1400,34453.1000,37880.9240,36167.01200000,1.99593873
"2023-02-01","16918",社区店,34379.8704,50574.8628,59721.8700,55148.36640000,0.62340686
"2023-02-01","16919",社区店,12422.1000,21105.3600,23415.3800,22260.37000000,0.55803654
