"WAVEID","WAVEDTLID","PRINTDATE","SCATTERFINPACKS","WHOLEFINPACKS"
"4411892","9229856","2024/1/4 10:19:03","1","0"
"4412251","9230501","2024/1/4 10:25:14","2","0"
"4412101","9230198","2024/1/4 10:38:45","1","0"
"4412172","9230334","2024/1/4 10:38:59","1","0"
"4412099","9230185","2024/1/4 10:45:22","1","0"
"4412178","9230341","2024/1/4 10:45:39","1","0"
"4412252","9230502","2024/1/4 10:45:42","2","6"
"4412103","9230200","2024/1/4 10:46:30","1","0"
"4412106","9230204","2024/1/4 10:48:52","1","0"
"4411089","9227989","2024/1/4 10:56:15","1","0"
"4412102","9230199","2024/1/4 11:08:04","1","0"
"4412431","9230828","2024/1/4 11:14:18","0","1"
"4412594","9231148","2024/1/4 11:20:45","0","80"
"4412672","9231297","2024/1/4 11:25:48","0","1"
"4412595","9231149","2024/1/4 11:26:49","1","0"
"4412669","9231294","2024/1/4 11:28:46","1","0"
"4412670","9231295","2024/1/4 11:37:08","3","0"
"4412802","9231586","2024/1/4 11:43:21","1","0"
"4412772","9231502","2024/1/4 12:05:26","1","0"
"4412790","9231559","2024/1/4 12:06:35","1","0"
"4412678","9231307","2024/1/4 12:09:30","2","0"
"4412675","9231304","2024/1/4 12:12:47","1","2"
"4412677","9231306","2024/1/4 12:19:27","1","0"
"4412671","9231296","2024/1/4 12:30:36","0","1"
"4412950","9231923","2024/1/4 12:31:59","0","5"
"4412982","9231977","2024/1/4 12:32:37","1","0"
"4412676","9231305","2024/1/4 12:40:00","1","0"
"4412773","9231504","2024/1/4 12:42:19","0","3"
"4412953","9231926","2024/1/4 12:43:20","0","1"
"4412985","9231980","2024/1/4 12:43:33","0","1"
"4412767","9231491","2024/1/4 12:45:19","0","2"
"4412769","9231493","2024/1/4 12:48:13","0","2"
"4412766","9231490","2024/1/4 12:48:27","1","12"
"4412679","9231308","2024/1/4 12:48:52","0","1"
"4412673","9231298","2024/1/4 13:08:27","2","0"
"4412979","9231974","2024/1/4 13:24:35","0","4"
"4412177","9230340","2024/1/4 13:40:31","0","8"
"4413489","9232870","2024/1/4 15:09:03","2","0"
"4413710","9233273","2024/1/4 15:47:47","1","0"
"4413710","9233272","2024/1/4 15:49:46","1","0"
"4413785","9233415","2024/1/4 15:53:05","2","0"
"4413570","9232995","2024/1/4 15:55:39","1","0"
"4413489","9232871","2024/1/4 15:57:33","2","0"
"4413568","9232993","2024/1/4 15:58:02","1","0"
"4413600","9233075","2024/1/4 16:01:27","2","0"
"4413565","9232990","2024/1/4 16:01:52","1","5"
"4413588","9233051","2024/1/4 16:01:55","1","0"
"4413584","9233032","2024/1/4 16:04:51","0","11"
"4413580","9233008","2024/1/4 16:05:51","0","1"
"4413644","9233146","2024/1/4 16:06:09","1","0"
"4413575","9233000","2024/1/4 16:06:17","1","2"
"4413573","9232998","2024/1/4 16:06:29","0","2"
