"waveid","wavedtlid","print_time","out_scatter_box_count","out_whole_qty"
4412199,9230380,"2024-01-04 16:45:11",1,0
4413063,9232144,"2024-01-04 16:45:26",1,0
4413063,9232127,"2024-01-04 16:45:41",1,0
4413063,9232130,"2024-01-04 16:46:23",1,0
4413063,9232134,"2024-01-04 16:46:38",1,0
4413063,9232136,"2024-01-04 16:47:08",1,0
4413063,9232131,"2024-01-04 16:49:15",1,0
4413063,9232146,"2024-01-04 16:49:30",1,0
4413063,9232145,"2024-01-04 16:49:44",1,0
4413063,9232143,"2024-01-04 16:51:15",1,0
4413063,9232140,"2024-01-04 16:52:48",1,0
4413063,9232133,"2024-01-04 16:53:52",1,0
4413063,9232135,"2024-01-04 16:54:36",1,0
4413063,9232139,"2024-01-04 16:55:25",1,0
4413063,9232142,"2024-01-04 16:55:40",1,0
4409496,9225131,"2024-01-04 16:57:17",1,0
4413063,9232138,"2024-01-04 16:57:54",1,0
4413063,9232126,"2024-01-04 16:58:09",1,0
4413063,9232137,"2024-01-04 17:01:36",1,0
4413063,9232128,"2024-01-04 17:05:42",2,0
4413063,9232124,"2024-01-04 17:08:46",4,1
4413063,9232125,"2024-01-04 17:12:37",7,2
4415113,9235600,"2024-01-05 09:40:21",1,0
4415113,9235601,"2024-01-05 09:40:25",1,0
4415113,9235602,"2024-01-05 09:40:28",1,0
4415113,9235603,"2024-01-05 09:40:31",1,0
4415559,9236520,"2024-01-05 09:42:11",1,0
4415111,9235588,"2024-01-05 09:43:17",1,0
4415113,9235604,"2024-01-05 10:40:58",2,0
4416214,9237727,"2024-01-05 11:29:47",2,0
4415116,9235714,"2024-01-05 11:53:06",1,0
4415116,9235715,"2024-01-05 12:09:57",1,0
4415116,9235713,"2024-01-05 12:14:34",1,0
4415116,9235725,"2024-01-05 12:17:45",1,0
4415116,9235724,"2024-01-05 12:18:17",1,0
4415116,9235721,"2024-01-05 12:19:38",1,0
4415116,9235718,"2024-01-05 12:20:38",1,0
4415125,9235760,"2024-01-05 12:21:15",2,0
4415116,9235716,"2024-01-05 12:22:17",1,0
4415125,9235761,"2024-01-05 12:23:08",1,0
4415116,9235730,"2024-01-05 12:24:27",1,0
4415219,9235965,"2024-01-05 12:24:41",1,0
4415116,9235722,"2024-01-05 12:27:39",1,0
4415116,9235712,"2024-01-05 12:28:14",1,0
4415116,9235727,"2024-01-05 12:29:20",1,0
4415125,9235764,"2024-01-05 12:32:07",2,0
4415116,9235719,"2024-01-05 12:32:21",2,0
4415125,9235766,"2024-01-05 12:32:47",1,0
4415116,9235726,"2024-01-05 12:33:01",1,0
4415116,9235720,"2024-01-05 12:33:15",1,0
4415116,9235723,"2024-01-05 12:33:30",1,0
4415125,9235765,"2024-01-05 12:33:33",1,0
4415125,9235763,"2024-01-05 12:33:58",1,0
4415130,9235790,"2024-01-05 12:35:43",1,0
4415125,9235762,"2024-01-05 12:38:56",1,0
4416214,9237724,"2024-01-05 13:14:59",2,0
4416214,9237726,"2024-01-05 13:23:31",1,0
4415116,9235729,"2024-01-05 14:47:39",1,0
4415116,9235728,"2024-01-05 14:56:41",1,0
4415116,9235732,"2024-01-05 15:02:04",1,0
4416916,9238867,"2024-01-05 15:05:10",1,0
4416925,9238878,"2024-01-05 15:07:43",2,3
4415130,9235791,"2024-01-05 15:14:32",1,0
4415116,9235731,"2024-01-05 15:18:04",1,0
4415116,9235717,"2024-01-05 15:24:50",1,0
4416393,9238000,"2024-01-05 15:24:54",1,0
4417130,9239348,"2024-01-05 15:26:43",1,0
4416393,9238001,"2024-01-05 15:27:09",1,0
4416393,9238002,"2024-01-05 15:28:44",1,0
4416393,9238003,"2024-01-05 15:31:39",1,0
4417306,9239685,"2024-01-05 15:32:05",1,0
4416393,9238005,"2024-01-05 15:32:43",1,0
4416393,9238006,"2024-01-05 15:36:55",1,0
4417130,9239349,"2024-01-05 15:37:56",1,0
4417301,9239679,"2024-01-05 15:41:12",3,0
4416925,9238879,"2024-01-05 15:47:18",1,0
4417783,9240460,"2024-01-05 16:43:11",1,0
4417783,9240461,"2024-01-05 16:44:01",2,0
4417784,9240462,"2024-01-05 16:45:13",2,0
4417841,9240549,"2024-01-05 17:05:18",1,0
4417832,9240539,"2024-01-05 17:05:59",1,0
4417829,9240536,"2024-01-05 17:06:25",1,0
4417827,9240534,"2024-01-05 17:06:40",1,0
4417823,9240524,"2024-01-05 17:07:39",1,0
4417816,9240509,"2024-01-05 17:08:40",2,0
4417813,9240501,"2024-01-05 17:09:40",1,0
4417778,9240448,"2024-01-05 17:09:55",1,1
4417810,9240496,"2024-01-05 17:09:58",1,0
4417809,9240495,"2024-01-05 17:10:12",1,0
4418267,9241292,"2024-01-05 18:17:24",3,0
4418267,9241293,"2024-01-05 18:20:36",1,0
4418275,9241303,"2024-01-05 18:26:28",1,0
4418920,9242231,"2024-01-08 09:48:32",1,0
4409944,9225922,"2024-01-08 10:50:10",1,0
4415116,9235733,"2024-01-08 10:50:46",2,0
4418920,9242236,"2024-01-08 11:02:54",1,0
4418919,9242222,"2024-01-08 11:02:56",1,0
4418919,9242215,"2024-01-08 12:27:37",1,0
4418919,9242216,"2024-01-08 12:27:40",2,0
4418919,9242217,"2024-01-08 12:27:44",2,0
4418919,9242218,"2024-01-08 12:27:47",1,0
4418919,9242221,"2024-01-08 12:27:57",1,0
4418919,9242223,"2024-01-08 12:28:00",1,0
4418919,9242224,"2024-01-08 12:28:03",2,0
4418919,9242225,"2024-01-08 12:28:07",2,0
4418919,9242227,"2024-01-08 12:28:13",1,0
4418919,9242228,"2024-01-08 12:28:17",1,0
4418919,9242229,"2024-01-08 12:28:20",1,0
4418920,9242230,"2024-01-08 12:28:23",1,0
4418920,9242232,"2024-01-08 12:28:27",1,2
4418920,9242233,"2024-01-08 12:28:31",5,0
4418920,9242235,"2024-01-08 12:28:37",1,0
4418920,9242237,"2024-01-08 12:28:41",1,0
4418920,9242238,"2024-01-08 12:28:44",2,1
4418920,9242239,"2024-01-08 12:28:47",2,0
4418920,9242240,"2024-01-08 12:28:50",1,0
4418920,9242241,"2024-01-08 12:28:53",1,1
4418920,9242242,"2024-01-08 12:28:57",2,0
4418920,9242243,"2024-01-08 12:29:00",3,0
4418920,9242244,"2024-01-08 12:29:03",1,0
4418920,9242245,"2024-01-08 12:29:06",2,0
4418923,9242269,"2024-01-08 12:29:13",2,0
4418923,9242270,"2024-01-08 12:29:16",2,0
4418923,9242271,"2024-01-08 12:29:20",1,0
4418951,9242314,"2024-01-08 12:29:23",1,0
4418951,9242315,"2024-01-08 12:29:26",1,0
4418951,9242316,"2024-01-08 12:29:30",1,0
4418951,9242317,"2024-01-08 12:29:33",1,0
4418951,9242318,"2024-01-08 12:29:36",1,0
4418951,9242319,"2024-01-08 12:29:40",1,0
4418951,9242320,"2024-01-08 12:29:43",1,0
4419323,9243006,"2024-01-08 12:30:31",1,0
4419323,9243007,"2024-01-08 12:30:34",1,0
4419663,9243682,"2024-01-08 12:31:20",1,0
4419663,9243683,"2024-01-08 12:31:24",1,0
4419663,9243684,"2024-01-08 12:31:27",1,0
4419788,9243898,"2024-01-08 12:31:30",1,0
4420100,9244511,"2024-01-08 12:32:50",1,0
4418919,9242220,"2024-01-08 13:45:26",1,0
4418920,9242234,"2024-01-08 13:45:28",2,1
4419323,9243005,"2024-01-08 13:45:30",1,0
4421485,9246845,"2024-01-08 14:56:42",1,0
4420834,9245881,"2024-01-08 15:29:45",1,0
4420843,9245895,"2024-01-08 15:37:27",1,0
4421072,9246280,"2024-01-08 15:47:07",5,0
4421485,9246844,"2024-01-08 15:47:11",1,0
4422071,9248127,"2024-01-08 15:49:08",1,0
4421079,9246293,"2024-01-08 16:24:53",1,0
4421079,9246294,"2024-01-08 16:27:14",2,0
4420832,9245878,"2024-01-08 16:28:27",1,0
